"grp","day"
4,"s,480,o,30,o,10,o,200,o,20,o,7,o,213,o,1,o,8,o,1,o,7,o,10,o,8,o,205,s,240"
2,"s,540,o,60,o,60,o,10,o,530,s,240"
4,"s,360,o,15,o,225,o,15,o,20,o,90,o,175,o,20,o,100,o,30,s,390"
2,"s,240,o,60,o,60,o,60,o,120,o,210,o,60,o,150,o,30,o,30,o,60,s,360"
2,"s,120,o,30,o,60,o,20,o,310,o,30,o,120,o,10,o,180,o,10,o,30,o,60,o,20,o,20,c,60,s,360"
4,"s,120,o,60,o,15,o,15,o,20,c,255,o,37,c,63,o,120,o,20,o,115,o,15,o,15,w,150,o,30,s,390"
2,"s,150,o,25,o,5,o,15,c,90,o,15,w,120,o,10,o,90,o,10,o,20,o,90,o,180,o,5,o,120,o,30,o,30,o,15,o,240,o,90,s,90"
4,"s,330,w,140,o,15,o,85,o,15,o,135,o,20,w,100,w,150,w,45,o,45,s,40,s,320"
2,"s,180,o,5,o,10,o,10,o,245,o,60,o,330,o,10,o,5,o,10,o,10,o,90,o,10,o,30,o,30,o,20,o,60,o,45,o,30,o,10,o,20,o,60,o,30,o,10,s,120"
2,"s,150,o,15,o,10,o,15,o,20,o,240,o,30,o,180,o,20,o,10,w,90,o,60,o,30,o,120,o,60,o,120,s,270"
4,"w,150,o,5,o,30,o,10,c,105,o,5,c,120,o,30,c,205,o,5,c,115,o,10,o,90,o,5,o,70,o,15,o,90,o,5,w,75,s,15,w,150,o,15,s,120"
4,"s,240,o,5,o,10,o,5,o,280,o,25,o,40,o,265,o,15,o,3,o,10,o,5,o,10,o,10,o,97,o,5,o,20,o,30,s,365"
2,"s,340,o,45,o,29,o,13,o,68,o,15,o,7,o,40,o,5,o,15,o,15,o,5,o,45,o,8,o,6,o,1,o,5,o,2,o,5,o,1,o,16,o,90,o,15,o,3,o,3,o,60,o,10,o,93,o,2,o,75,o,10,o,2,o,10,o,1,o,5,o,5,o,10,o,10,o,4,o,10,o,4,o,60,s,272"
2,"s,300,o,15,o,30,o,15,o,60,o,90,o,10,o,30,o,10,w,45,s,70,o,10,o,35,o,5,o,10,o,30,o,20,o,20,o,30,o,40,o,1,o,15,o,15,o,15,o,4,o,30,o,30,o,1,o,5,o,10,o,20,o,60,o,120,o,10,o,109,o,30,s,90"
4,"s,180,o,15,o,15,w,510,o,60,o,2,o,90,o,2,o,30,o,146,o,60,s,330"
4,"s,300,o,40,o,20,o,180,o,15,o,180,o,30,o,120,o,60,o,180,s,315"
2,"s,180,o,30,o,30,o,120,o,15,o,165,o,20,o,5,o,20,o,40,o,1,o,94,o,15,o,45,o,30,o,30,o,180,w,180,s,240"
2,"s,210,o,60,o,60,o,10,o,215,o,10,o,90,o,60,o,45,o,350,s,330"
2,"s,180,o,10,o,10,o,90,o,15,o,3,o,5,o,1,o,5,o,5,o,246,o,5,o,1,o,120,o,8,o,20,o,10,o,106,o,15,o,60,w,195,o,15,s,315"
2,"s,480,o,20,o,10,o,10,o,140,o,5,c,60,o,5,o,30,o,15,o,125,o,15,o,225,o,10,o,15,o,95,o,60,s,120"
2,"s,240,o,30,o,20,o,100,o,150,o,20,o,145,o,15,o,1,o,5,o,1,o,20,o,10,o,30,o,173,o,45,o,195,s,240"
4,"s,300,o,15,o,15,o,60,w,60,o,45,o,30,w,120,o,30,w,120,o,30,o,30,o,30,o,60,o,45,w,90,o,45,w,30,o,30,s,255"
2,"s,360,o,480,o,15,o,345,s,240"
4,"s,240,o,30,o,60,o,30,s,150,o,60,o,60,o,90,o,150,o,60,o,270,s,240"
