race,activities
1,"s,150,o,30,o,10,c,275,o,60,c,180,o,60,o,10,w,60,o,30,o,45,o,90,s,440"
1,"s,360,o,60,o,60,o,60,o,360,o,90,o,90,s,360"
1,"s,135,o,45,o,30,o,30,o,10,o,5,o,5,o,10,c,30,c,180,o,35,c,265,w,60,o,15,o,80,o,55,s,450"
1,"s,150,o,30,o,15,c,240,o,20,c,175,o,15,w,150,o,15,o,30,w,90,o,120,o,20,s,370"
2,"s,180,o,80,o,45,c,240,o,30,o,25,o,10,o,15,o,40,o,10,o,120,w,120,o,60,o,225,s,240"
4,"s,240,o,30,w,210,o,30,o,90,o,90,o,10,o,140,o,40,o,170,s,390"
1,"s,150,o,15,o,15,c,240,o,25,c,170,o,15,o,60,o,30,s,90,o,30,o,90,o,90,o,30,s,390"
2,"s,60,o,30,o,10,w,320,o,60,o,45,o,60,o,10,o,180,o,10,o,30,o,265,w,60,s,120,s,180"
1,"s,330,o,150,o,15,o,270,o,20,o,180,o,60,o,20,o,80,o,25,o,80,o,30,o,160,s,20"
1,"s,90,o,60,o,5,o,10,c,325,o,30,c,110,o,5,o,20,o,425,o,20,s,340"
1,"s,330,o,45,o,60,o,7,o,240,o,3,o,30,o,15,o,1,o,5,o,15,o,299,o,10,o,60,o,40,s,280"
